Taxa,Flowering_BLUE
MO44_PHW65_0316/PHT69,64.76732138684726
MO44_PHW65_0317/LH195,66.91730065348857
MO44_PHW65_0317/PHT69,64.15425062739165
MO44_PHW65_0319/LH195,66.38182611238753
MO44_PHW65_0319/PHT69,64.65826979247254
MO44_PHW65_0320/LH195,67.24622216608121
MO44_PHW65_0320/PHT69,64.76025591416094
MO44_PHW65_0321/LH195,67.45201053169663
MO44_PHW65_0321/PHT69,64.10186114141098
MO44_PHW65_0324/LH195,66.5531529784581
MO44_PHW65_0324/PHT69,64.19241916389498
MO44_PHW65_0328/LH195,66.37693372560716
MO44_PHW65_0328/PHT69,64.37904026545162
MO44_PHW65_0333/LH195,65.48383253131574
MO44_PHW65_0333/PHT69,63.477877840139236
MO44_PHW65_0336/LH195,67.66733209375587
MO44_PHW65_0336/PHT69,64.27211616315546
MO44_PHW65_0339/LH195,64.92879168278908
MO44_PHW65_0339/PHT69,63.71294400871648
MO44_PHW65_0343/LH195,66.50069758846305
MO44_PHW65_0343/PHT69,64.84773417735774
MO44_PHW65_0350/LH195,66.53798747199117
MO44_PHW65_0350/PHT69,63.50778482173904
MO44_PHW65_0358/LH195,66.85975101603337
MO44_PHW65_0363/LH195,66.29357762447086
MO44_PHW65_0363/PHT69,63.72176973969958
MO44_PHW65_0376/LH195,66.31759668211836
MO44_PHW65_0376/PHT69,63.6269627763907
MO44_PHW65_0390/LH195,67.05601423127709
MO44_PHW65_0390/PHT69,64.52237234302837
MO44_PHW65_0391/LH195,66.90365133850447
MO44_PHW65_0391/PHT69,63.524454613711164
MO44_PHW65_0392/LH195,68.87398234121359
MO44_PHW65_0392/PHT69,64.24499667075504
MO44_PHW65_0396/LH195,67.79378767949413
MO44_PHW65_0396/PHT69,63.520501982212856
MO44_PHW65_0397/LH195,65.97714784088114
MO44_PHW65_0397/PHT69,64.77872401764822
MO44_PHW65_0404/LH195,66.84738096020654
MO44_PHW65_0404/PHT69,63.25384601981628
MO44_PHW65_0416/LH195,66.94767082977594
MO44_PHW65_0416/PHT69,63.52917889475753
MO44_PHW65_0433/LH195,66.57659136434619
MO44_PHW65_0433/PHT69,64.18549677103131
MO44_PHW65_0435/LH195,65.25157190086541
MO44_PHW65_0435/PHT69,62.62142019437179
MO44_PHW65_0442/LH195,67.6865892987379
MO44_PHW65_0442/PHT69,63.38170511692771
MO44_PHW65_0446/LH195,66.90107453373138
MO44_PHW65_0446/PHT69,64.3285417548639
MO44_PHW65_0455/LH195,67.16928594414007
MO44_PHW65_0455/PHT69,64.78244695718715
MO44_PHW65_0464/LH195,67.94589434942839
MO44_PHW65_0464/PHT69,64.98541623788849
MO44_PHW65_0471/LH195,66.83739767076099
MO44_PHW65_0471/PHT69,64.33632774140959
MO44_PHW65_0475/LH195,64.61514895401612
MO44_PHW65_0475/PHT69,62.81808717032981
MOG/LH195,67.46962577893902
MOG/PHT69,64.68730662816209
PB80/TX779,71.77902385291274
PHB47/DK3IIH6,60.54126877888142
PHB47/MO17,65.27615180371592
PHB47/PHG29,57.54126877888142
PHB47/PHG47,57.54126877888141
PHB47/PHK05,57.54126877888141
PHB47/PHK56,61.04126877888141
PHB47/PHK76,63.44451990845286
PHB47/PHN82,64.71493244946173
PHB47/PHR25,57.54126877888142
PHB47/PHW03,57.54126877888142
PHB47/PHZ51,64.32435735197429
PHG29/CG120,57.54126877888142
PHG29/LH145,57.54126877888142
PHG29/PHG47,62.18136201371603
PHG29/PHHV4,59.04126877888142
PHG29/PHRE1,61.04126877888142
PHG29/S8324,57.54126877888142
PHG39/PHN82,66.61080422520651
PHG47/CG120,68.54126877888142
PHG47/LH145,57.54126877888142
PHG47/PHHV4,55.54126877888142
PHG47/PHRE1,57.54126877888142
PHG47/S8324,57.54126877888142
PHHV4/DK3IIH6,61.04126877888142
PHHV4/LH162,58.04126877888142
PHHV4/PHK05,53.54126877888142
PHHV4/PHK56,63.54126877888142
PHHV4/PHR25,57.54126877888142
PHHV4/PHW03,59.54126877888141
PHHV4/PHZ51,61.04126877888142
PHJ40/LH82,57.54126877888142
PHJ40/PHAJ0,58.3918883295055
PHJ89/CG120,57.54126877888141
PHJ89/LH145,57.54126877888141
PHJ89/PH207,61.83383202154891
PHJ89/PHB47,60.04126877888142
PHJ89/PHHV4,61.04126877888141
PHJ89/PHRE1,57.54126877888142
PHJ89/S8324,57.54126877888141
PHK05/PHRE1,53.54126877888141
PHK56/LH145,59.5412687788814
PHK56/PHRE1,59.04126877888142
PHM49/PHW65,71.33323963203573
PHN11/PHT69,61.371517154477885
PHN11_PHW65_0001/LH195,66.29552840110068
PHN11_PHW65_0001/PHT69,62.4821239376168
PHN11_PHW65_0003/LH195,64.93813917852431
PHN11_PHW65_0003/PHT69,62.95938929792893
PHN11_PHW65_0010/LH195,65.27722361334254
PHN11_PHW65_0010/PHT69,62.42655147530093
PHN11_PHW65_0011/LH195,66.87163876623235
PHN11_PHW65_0011/PHT69,63.1562924919293
PHN11_PHW65_0015/LH195,65.88217590908339
PHN11_PHW65_0015/PHT69,62.99367157232166
PHN11_PHW65_0016/LH195,66.68298250756044
PHN11_PHW65_0016/PHT69,63.70401698758823
PHN11_PHW65_0017/LH195,66.22163673531648
PHN11_PHW65_0017/PHT69,62.357374651209575
PHN11_PHW65_0021/LH195,65.29090414897522
PHN11_PHW65_0021/PHT69,62.57935501362971
PHN11_PHW65_0022/LH195,66.25915994367348
PHN11_PHW65_0022/PHT69,62.68240894677428
PHN11_PHW65_0023/LH195,65.95279051097356
PHN11_PHW65_0023/PHT69,63.35576164866402
PHN11_PHW65_0027/LH195,66.87916115262684
PHN11_PHW65_0027/PHT69,63.58535362123514
PHN11_PHW65_0028/LH195,66.0090163528125
PHN11_PHW65_0028/PHT69,63.02277896894104
