taxa,PC1,PC2,PC3,PC4
MO44_PHW65_0134/LH195,9.49855914973108,-3.81212695275339,6.44877423016054,1.02876174609073
MO44_PHW65_0134/PHT69,9.49855914973108,-3.81212695275339,6.44877423016054,1.02876174609073
MO44_PHW65_0135/LH195,7.58854470860761,-3.3161490926081,5.66800301923858,1.65635655119124
MO44_PHW65_0135/PHT69,7.58854470860761,-3.3161490926081,5.66800301923858,1.65635655119124
MO44_PHW65_0136/LH195,8.17402575613089,-3.46011617205768,8.3934885045446,1.46332857756491
MO44_PHW65_0136/PHT69,8.17402575613089,-3.46011617205768,8.3934885045446,1.46332857756491
MO44_PHW65_0139/LH195,7.45764471345932,-3.49034076157086,9.72971754727429,0.866208642039917
MO44_PHW65_0139/PHT69,7.45764471345932,-3.49034076157086,9.72971754727429,0.866208642039917
MO44_PHW65_0140/LH195,9.92895752939176,-2.51255037380607,4.79945827161049,0.807407947036953
MO44_PHW65_0140/PHT69,9.92895752939176,-2.51255037380607,4.79945827161049,0.807407947036953
MO44_PHW65_0144/LH195,8.59343403056855,-3.36749785704714,7.28219084594045,0.812959136565611
MO44_PHW65_0144/PHT69,8.59343403056855,-3.36749785704714,7.28219084594045,0.812959136565611
MO44_PHW65_0145/LH195,7.25123743827364,-4.00596590288215,7.35742669543245,2.42132351368742
MO44_PHW65_0145/PHT69,7.25123743827364,-4.00596590288215,7.35742669543245,2.42132351368742
MO44_PHW65_0147/LH195,7.48715983537022,-4.32537751381075,8.45709486963313,0.251888037637534
MO44_PHW65_0147/PHT69,7.48715983537022,-4.32537751381075,8.45709486963313,0.251888037637534
MO44_PHW65_0150/LH195,10.1258579888509,-2.46742962658194,4.95405961986637,1.85097829540426
MO44_PHW65_0150/PHT69,10.1258579888509,-2.46742962658194,4.95405961986637,1.85097829540426
MO44_PHW65_0151/LH195,9.77306557629355,-3.24532520117567,5.05088429161998,1.11336831651305
MO44_PHW65_0151/PHT69,9.77306557629355,-3.24532520117567,5.05088429161998,1.11336831651305
MO44_PHW65_0154/LH195,7.23878144622891,-3.27912405892595,7.69193426939242,1.16228227972567
MO44_PHW65_0154/PHT69,7.23878144622891,-3.27912405892595,7.69193426939242,1.16228227972567
MO44_PHW65_0155/LH195,5.74464599148489,-4.76959534019819,11.9526714313575,1.0427276006342
MO44_PHW65_0155/PHT69,5.74464599148489,-4.76959534019819,11.9526714313575,1.0427276006342
MO44_PHW65_0157/LH195,7.23768318328662,-3.49709160949384,7.44204135940253,1.76459114372637
MO44_PHW65_0157/PHT69,7.23768318328662,-3.49709160949384,7.44204135940253,1.76459114372637
MO44_PHW65_0159/LH195,6.67875579557669,-3.83753005231697,9.42971702522247,1.19159725576416
MO44_PHW65_0159/PHT69,6.67875579557669,-3.83753005231697,9.42971702522247,1.19159725576416
MO44_PHW65_0160/LH195,7.4979595713888,-3.35617594627794,7.97605692208788,1.5713083618522
MO44_PHW65_0160/PHT69,7.4979595713888,-3.35617594627794,7.97605692208788,1.5713083618522
MO44_PHW65_0163/LH195,6.61194856395271,-3.55307055614882,9.76116501119748,2.09981927743801
MO44_PHW65_0163/PHT69,6.61194856395271,-3.55307055614882,9.76116501119748,2.09981927743801
MO44_PHW65_0164/LH195,8.87123060362616,-2.37000936539842,6.42058362328806,0.821432148853741
MO44_PHW65_0164/PHT69,8.87123060362616,-2.37000936539842,6.42058362328806,0.821432148853741
MO44_PHW65_0165/LH195,7.02924709298936,-4.57131799976689,8.15685700635611,1.3070519794741
MO44_PHW65_0165/PHT69,7.02924709298936,-4.57131799976689,8.15685700635611,1.3070519794741
MO44_PHW65_0166/LH195,8.3716122635716,-2.96559404599217,6.95241903297391,1.13635981140901
MO44_PHW65_0166/PHT69,8.3716122635716,-2.96559404599217,6.95241903297391,1.13635981140901
MO44_PHW65_0167/LH195,5.99902186502029,-3.85877934719809,9.6531510953473,2.11501254894729
MO44_PHW65_0167/PHT69,5.99902186502029,-3.85877934719809,9.6531510953473,2.11501254894729
MO44_PHW65_0168/LH195,8.12875989181917,-3.64353254234188,8.90285818802136,1.85529094414885
MO44_PHW65_0168/PHT69,8.12875989181917,-3.64353254234188,8.90285818802136,1.85529094414885
MO44_PHW65_0171/LH195,10.0484704366286,-3.53199749691302,6.05014972277104,0.779223214140602
MO44_PHW65_0171/PHT69,10.0484704366286,-3.53199749691302,6.05014972277104,0.779223214140602
MO44_PHW65_0174/LH195,5.21509158767547,-3.77792992119533,10.7855261570905,1.21830901579676
MO44_PHW65_0174/PHT69,5.21509158767547,-3.77792992119533,10.7855261570905,1.21830901579676
MO44_PHW65_0175/LH195,9.01085916062565,-3.23409115275387,6.20190020041395,2.00600940618985
